severity_class,ev_year_1.0,ev_year_2.0,ev_year_3.0,ev_year_4.0,ev_year_5.0,ev_year_6.0,ev_year_7.0,ev_year_8.0,ev_year_9.0,ev_year_10.0,ev_year_11.0,ev_year_12.0,ev_year_13.0,ev_year_14.0,ev_year_15.0,ev_year_16.0,ev_year_17.0,ev_month_1.0,ev_month_2.0,ev_month_3.0,ev_month_4.0,ev_month_5.0,ev_month_6.0,ev_month_7.0,ev_month_8.0,ev_month_9.0,ev_month_10.0,ev_month_11.0,ev_month_12.0,ev_dow_1.0,ev_dow_2.0,ev_dow_3.0,ev_dow_4.0,ev_dow_5.0,ev_dow_6.0,ev_dow_7.0,ev_nr_apt_loc_1.0,ev_nr_apt_loc_2.0,light_cond_1.0,light_cond_2.0,light_cond_3.0,light_cond_4.0,light_cond_5.0,light_cond_6.0,light_cond_7.0,sky_cond_nonceil_1.0,sky_cond_nonceil_2.0,sky_cond_nonceil_3.0,sky_cond_nonceil_4.0,sky_cond_nonceil_5.0,sky_cond_nonceil_6.0,sky_cond_nonceil_7.0,sky_cond_nonceil_8.0,sky_cond_nonceil_9.0,wx_cond_basic_1.0,wx_cond_basic_2.0,acft_category_1,acft_category_2,acft_category_3,acft_category_4,acft_category_5,acft_category_6,acft_category_7,acft_category_8,acft_category_9,acft_category_10,acft_category_11,category_no_1.0,category_no_2.0,category_no_3.0,category_no_4.0,category_no_5.0,Cause_Factor_1,Cause_Factor_2,eng_type_1.0,eng_type_2.0,eng_type_3.0,eng_type_4.0,eng_type_5.0,eng_type_6.0,eng_type_7.0,eng_type_8.0,eng_type_9.0,eng_type_10.0,eng_type_12.0,eng_type_13.0,eng_type_14.0,eng_type_15.0,eng_type_16.0,eng_type_17.0,eng_type_18.0,eng_type_19.0,eng_type_20.0,eng_type_21.0,eng_type_23.0,eng_type_24.0,eng_type_25.0,eng_type_26.0,eng_type_27.0,eng_type_28.0,eng_type_29.0,eng_type_30.0,eng_type_31.0,eng_type_32.0,eng_type_33.0,eng_type_34.0,eng_type_35.0,eng_type_36.0,eng_type_37.0,eng_type_38.0,eng_type_39.0,eng_type_40.0,eng_type_41.0,eng_type_42.0,eng_type_43.0,homebuilt_1.0,homebuilt_2.0,med_certf_1.0,med_certf_2.0,med_certf_3.0,med_certf_4.0,med_certf_5.0,med_certf_6.0,med_certf_7.0,med_certf_8.0,med_certf_9.0,med_certf_10.0,med_certf_11.0,med_certf_12.0,med_certf_13.0,med_certf_14.0,med_crtf_vldty_1.0,med_crtf_vldty_2.0,med_crtf_vldty_3.0,med_crtf_vldty_4.0,med_crtf_vldty_5.0,med_crtf_vldty_6.0,med_crtf_vldty_7.0,crew_tox_perf_1.0,crew_tox_perf_2.0,ev_time,apt_dist,apt_elev,sky_nonceil_ht,sky_ceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_vel_kts,gust_kts,altimeter,dec_latitude,dec_longitude,cert_max_gr_wt,afm_hrs_last_insp,afm_hrs,crew_age
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0681434413079,-0.054202041224148,-0.49460630463136,-0.3514289924841,-0.31732918707666,-0.013329449341461,0.11157860425537,-0.083703729650821,-0.33196734365904,0.73930367969212,-0.23851570025841,-0.0002995110482044,-0.010371494257134,-0.0031294509738837,-0.12964284212318,-0.0055864575089493,-0.038300763712588,0.22640628443379
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0215348704998,-0.054202041224148,-0.45553584152354,-0.3514289924841,-0.31732918707666,-0.013329449341461,0.057046487999475,-0.43696319031552,1.9587243275605,1.9411699580554,1.571597080439,0.002565291391811,-0.010393593258922,-0.0013593549098498,-0.1398361837832,-0.0065953135939086,-0.17795607729711,1.1081067683572
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1.1146912915388,-0.054202041224148,0.37370105650631,-0.3514289924841,-0.31732918707666,-0.013329449341461,-1.4425867090376,-0.71172054861028,0.40432640780437,2.1815432137281,-0.23851570025841,0.0026985282647528,-0.010378313935618,-0.0015014136827868,-0.11921783360724,-0.0065953135939086,-0.16822168712251,0.10044907244473
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0681434413079,-0.050768706055314,2.8775788387784,-0.3514289924841,-0.31732918707666,-0.013329449341461,-0.92453160460664,-0.5743418694629,0.24070557414583,-0.46256259867118,-0.23851570025841,0.0001668497755412,-0.010365846981217,-0.0019843928258956,0.044570633520903,-0.0065953135939086,-0.093277944585071,0.41534210241739
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.78072392132453,-0.054202041224148,-0.49258541860854,-0.3514289924841,-0.31732918707666,-0.013329449341461,-0.13381591889616,0.13217705186649,0.3225159909751,-0.46256259867118,-0.23851570025841,0.0003667241460234,-0.010371549184115,-0.0001853852496249,-0.14655452260458,-0.0065953135939086,0.12598365239184,-1.0331658354568
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.88947725321013,-0.054202041224148,-0.40164554758171,-0.3514289924841,-0.31732918707666,-0.013329449341461,-0.37921044204769,-0.39771213913055,0.15889515731656,-0.70293585434384,-0.23851570025841,0.000499961018966,-0.010369332517433,-0.0001355284620955,-0.12616783928453,-0.0058727545060324,0.41080860116121,0.28938489042832
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.31153097518951,-0.054202041224148,-0.44879955478081,0.061814329251518,-0.31732918707666,-0.013329449341461,-0.76093525583895,-0.43696319031552,1.4678618265848,2.4219164694007,2.1146309146482,-0.008494182334665,-0.01032199541459,-0.0050994289009527,-0.15466286256142,-0.0065407808325595,-0.19648460404991,-0.65529419948964
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.050462258086842,-0.037035365379977,-0.49595356197991,-0.3514289924841,-0.31732918707666,-0.013329449341461,0.54783553430253,0.44618546134622,-0.16834651000051,1.4604234467101,-0.23851570025841,0.0003667241460234,-0.010403434443552,-0.0003813658608881,-0.014550748107247,-0.0062408506451391,0.5294464814142,-0.15146535153339
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.2468096294057,-0.054202041224148,-0.49258541860854,0.16512515968542,1.3667942567859,-0.013329449341461,0.3569731274069,0.48543651253119,-0.41377776048831,-0.70293585434384,-0.23851570025841,0.0004333362288048,-0.010394915653618,-0.000428980189894,-0.13121817674336,-0.0059000208867069,0.19366532942543,-1.411037471424
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5787534478227,-0.054202041224148,-0.27230884212133,-0.3514289924841,-0.31732918707666,-0.013329449341461,-0.024751686384368,0.13217705186649,1.7951034939019,0.2585571683468,-0.23851570025841,-0.0009657462424324,-0.010376526811209,-0.0029124524408855,-0.069409459586659,-0.0065953135939086,0.018667542422881,-0.21444395752792
