ev_id,damage,cert_max_gr_wt,afm_hrs_last_insp,ev_dow,ev_time,ev_year,ev_month,ev_nr_apt_loc,apt_dist,apt_elev,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_vel_kts,gust_kts,altimeter,ev_highest_injury,wx_cond_basic,dec_latitude,dec_longitude,crew_no,crew_age,med_certf,med_crtf_vldty,crew_tox_perf,severity_class
20080107X00026,MINR,2400.0,75.0,Tu,2230.0,2008,1,ONAP,0.0,10.0,DAYL,CLER,0.0,0.0,NONE,10.0,57.0,32.0,80.0,10.0,0.0,30.190000534057617,NONE,VMC,38.223888,-122.449722,1,56.0,CL3,WWL,N,MINR-NONE
20080109X00036,SUBS,2850.0,,Tu,2200.0,2008,1,ONAP,0.0,68.0,DAYL,CLER,0.0,0.0,NONE,10.0,55.0,14.0,360.0,15.0,20.0,30.6200008392334,NONE,VMC,29.506111,-95.476669,1,54.0,CL3,WWL,N,SUBS-NONE
20080115X00051,SUBS,1670.0,,We,2230.0,2008,1,ONAP,1.0,5016.0,DAYL,CLER,0.0,0.0,NONE,10.0,19.0,7.0,150.0,5.0,0.0,30.260000228881836,NONE,VMC,40.451667,-105.001113,1,36.0,CL3,WOWL,N,SUBS-NONE
20080115X00047,SUBS,2550.0,54.0,Sa,2045.0,2008,1,OFAP,0.0,,DAYL,CLER,0.0,0.0,NONE,10.0,48.0,43.0,160.0,5.0,0.0,30.290000915527344,MINR,VMC,38.20222,-77.587501,1,57.0,CL3,WOWL,N,SUBS-MINR
20080116X00063,SUBS,7368.0,27.0,Sa,1743.0,2008,1,OFAP,0.0,78.0,DAYL,FEW,1600.0,0.0,,10.0,25.0,14.0,300.0,17.0,26.0,28.959999084472656,FATL,VMC,57.750556,-152.468612,1,50.0,CL1,WOWL,Y,SUBS-FATL
20080114X00044,SUBS,2332.0,52.0,Su,1510.0,2008,1,OFAP,5.0,8.0,DAYL,CLER,0.0,0.0,NONE,10.0,73.0,59.0,100.0,13.0,0.0,30.290000915527344,NONE,VMC,25.623888,-80.57389,1,30.0,CL2,WWL,N,SUBS-NONE
20080220X00212,SUBS,1650.0,7.0,Mo,1915.0,2008,1,ONAP,0.0,340.0,DAYL,CLER,0.0,0.0,NONE,10.0,52.0,43.0,340.0,8.0,0.0,30.09000015258789,NONE,VMC,36.238609,-119.143058,1,61.0,CL3,WWL,N,SUBS-NONE
20080210X00166,SUBS,3850.0,,We,1645.0,2008,1,ONAP,0.0,19.0,DAYL,CLER,0.0,0.0,NONE,9.0,37.0,5.0,300.0,11.0,24.0,30.3700008392334,NONE,VMC,31.151666,-81.391113,1,81.0,CL3,WWL,N,SUBS-NONE
20080312X00299,SUBS,2200.0,,Su,1815.0,2008,1,ONAP,0.0,667.0,DAYL,,0.0,6500.0,OVC,10.0,36.0,28.0,200.0,3.0,0.0,30.1200008392334,NONE,VMC,44.635276,-68.632499,1,38.0,CL3,WOWL,N,SUBS-NONE
20080219X00203,SUBS,1600.0,4.599999904632568,Th,44.0,2008,1,OFAP,0.0,,DUSK,CLER,0.0,0.0,NONE,10.0,64.0,55.0,0.0,,0.0,30.110000610351562,NONE,VMC,27.259721,-82.287498,1,60.0,NONE,NONE,N,SUBS-NONE
20080123X00090,SUBS,2300.0,235.39999389648438,Sa,2038.0,2008,1,OFAP,0.0,11.0,DAYL,FEW,2600.0,0.0,NONE,10.0,79.0,68.0,210.0,11.0,0.0,29.899999618530273,FATL,VMC,27.913055,-82.67472,1,31.0,CL3,WOWL,Y,SUBS-FATL
20080304X00261,SUBS,3400.0,1530.0,Sa,2000.0,2008,1,OFAP,0.0,438.0,DAYL,CLER,0.0,0.0,NONE,10.0,61.0,36.0,0.0,,0.0,29.950000762939453,NONE,VMC,31.971389,-86.289718,1,49.0,NONE,NONE,N,SUBS-NONE
20080116X00062,SUBS,6290.0,,Sa,1739.0,2008,1,OFAP,1.0,590.0,DAYL,SCAT,2400.0,0.0,NONE,10.0,36.0,25.0,0.0,4.0,0.0,30.09000015258789,FATL,VMC,41.527221,-82.870002,1,67.0,CL3,WWL,Y,SUBS-FATL
20080118X00073,SUBS,75250.0,2643.0,Mo,329.0,2008,1,ONAP,0.0,13.0,NITE,CLER,0.0,0.0,NONE,10.0,52.0,45.0,0.0,,0.0,30.270000457763672,NONE,VMC,37.618888,-122.374725,1,39.0,CL1,WOWL,N,SUBS-NONE
20080219X00204,SUBS,1670.0,,Fr,1800.0,2008,1,OFAP,0.0,,DAYL,,0.0,5000.0,BKN,10.0,79.0,63.0,170.0,10.0,0.0,29.950000762939453,NONE,VMC,26.778888,-81.43222,1,25.0,CL3,WOWL,N,SUBS-NONE
20080117X00069,SUBS,1935.0,50.0,Su,2334.0,2008,1,OFAP,0.0,,DAYL,CLER,0.0,0.0,NONE,10.0,48.0,43.0,0.0,,0.0,0.0,MINR,VMC,45.716388,-120.984443,1,63.0,CL3,WWL,N,SUBS-MINR
20080115X00046,SUBS,1320.0,19.0,Th,2045.0,2008,1,ONAP,1.0,15.0,DAYL,SCAT,5000.0,0.0,NONE,10.0,30.0,12.0,320.0,11.0,20.0,30.649999618530273,NONE,VMC,38.972499,-76.324447,1,66.0,SPRT,NONE,N,SUBS-NONE
20080115X00052,SUBS,,180.0,Sa,2200.0,2008,1,ONAP,0.0,5152.0,DAYL,SCAT,9500.0,0.0,NONE,10.0,34.0,21.0,340.0,10.0,15.0,30.030000686645508,NONE,VMC,41.153331,-104.130279,1,77.0,CL3,WWL,N,SUBS-NONE
20080213X00180,SUBS,2900.0,,Sa,215.0,2008,1,ONAP,0.0,2585.0,NITE,CLER,0.0,0.0,NONE,10.0,0.0,0.0,0.0,,0.0,0.0,NONE,VMC,38.724166,-120.753334,1,53.0,CL3,WWL,N,SUBS-NONE
20080118X00079,DEST,,,Fr,1425.0,2008,1,,0.0,,,CLER,0.0,0.0,NONE,,0.0,0.0,0.0,,0.0,0.0,FATL,VMC,-22.611665,17.081666,1,,,,N,DEST-FATL
20080129X00119,SUBS,6750.0,,Th,443.0,2008,1,OFAP,2.0,677.0,NITE,,0.0,800.0,OVC,3.0,32.0,34.0,300.0,18.0,21.0,30.0,FATL,IMC,36.225833,-95.889442,1,31.0,CL1,WWL,Y,SUBS-FATL
20080214X00194,SUBS,1220.0,,Fr,2045.0,2008,1,,0.0,,DAYL,,0.0,7000.0,BKN,10.0,28.0,16.0,210.0,11.0,0.0,30.270000457763672,NONE,VMC,42.376388,-83.792778,1,31.0,CL1,,N,SUBS-NONE
20080117X00067,DEST,16600.0,73.0,Mo,1508.0,2008,1,OFAP,0.0,,NDRK,SCAT,4100.0,5500.0,OVC,10.0,68.0,55.0,30.0,23.0,27.0,30.1200008392334,FATL,VMC,21.850555,-159.324172,1,38.0,CL1,WOWL,N,DEST-FATL
20080118X00075,SUBS,3800.0,94.0,We,1615.0,2008,1,OFAP,1.0,88.0,DAYL,,0.0,600.0,,0.5,32.0,30.0,190.0,5.0,0.0,29.790000915527344,SERS,IMC,61.581665,-159.541671,1,58.0,CL2,WWL,N,SUBS-SERS
20080122X00085,SUBS,5500.0,84.0999984741211,Th,22.0,2008,1,OFAP,1.0,583.0,NITE,,0.0,25000.0,BKN,10.0,32.0,19.0,120.0,6.0,0.0,30.25,FATL,VMC,41.517501,-81.683334,1,68.0,CL2,WWL,Y,SUBS-FATL
20080118X00074,SUBS,8550.0,2.0,Tu,1839.0,2008,1,ONAP,0.0,126.0,DAYL,SCAT,1400.0,3500.0,BKN,10.0,30.0,27.0,160.0,17.0,0.0,29.360000610351562,MINR,VMC,60.779724,-161.838058,1,40.0,CL1,WWL,N,SUBS-MINR
20080123X00091,SUBS,2400.0,96.0,Th,1911.0,2008,1,ONAP,0.0,49.0,DAYL,CLER,0.0,0.0,NONE,10.0,30.0,23.0,200.0,5.0,0.0,30.299999237060547,NONE,VMC,42.193889,-71.17778,1,46.0,CL2,WWL,N,SUBS-NONE
20080220X00218,SUBS,,,Th,2300.0,2008,1,ONAP,0.0,,DUSK,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,NONE,VMC,36.458057,-105.672225,1,37.0,CL3,,N,SUBS-NONE
20080321X00354,SUBS,,,Sa,2210.0,2008,1,ONAP,0.0,,DAYL,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,NONE,VMC,28.473333,-82.455001,1,44.0,CL3,,N,SUBS-NONE
20080128X00111,DEST,4850.0,66.0,Fr,1830.0,2008,1,OFAP,17.0,809.0,DAYL,CLER,0.0,600.0,OVC,2.0,37.0,36.0,360.0,10.0,0.0,30.1299991607666,FATL,IMC,29.346389,-98.294441,1,65.0,CL3,WWL,Y,DEST-FATL
20080312X00302,SUBS,3400.0,,Mo,518.0,2008,1,ONAP,0.0,1003.0,NITE,CLER,0.0,0.0,NONE,10.0,43.0,32.0,280.0,7.0,0.0,30.049999237060547,NONE,VMC,33.875556,-84.30194,1,54.0,CL3,WWL,N,SUBS-NONE
20080312X00300,SUBS,996.0,,Sa,1900.0,2008,1,OFAP,0.0,,DAYL,SCAT,6000.0,0.0,NONE,10.0,52.0,21.0,300.0,8.0,0.0,30.209999084472656,NONE,VMC,34.014446,-87.118888,1,53.0,CL1,NONE,N,SUBS-NONE
